Local time,Open,High,Low,Close,Volume
24.01.2022 06:32:28.000 GMT-0800,25.216,25.227,25.216,25.227,3.5999999999999996
24.01.2022 06:32:29.000 GMT-0800,25.216,25.226,25.206,25.206,3.5999999999999996
24.01.2022 06:32:30.000 GMT-0800,25.217,25.217,25.206,25.216,3.5999999999999996
24.01.2022 06:32:32.000 GMT-0800,25.227,25.227,25.227,25.227,1.2
24.01.2022 06:32:33.000 GMT-0800,25.217,25.217,25.186,25.186,9.600000000000001
24.01.2022 06:32:34.000 GMT-0800,25.186,25.207,25.186,25.196,8.700000000000001
24.01.2022 06:32:35.000 GMT-0800,25.187,25.217,25.186,25.217,6
24.01.2022 06:32:36.000 GMT-0800,25.226,25.227,25.217,25.226,4.5
24.01.2022 06:32:38.000 GMT-0800,25.236,25.236,25.236,25.236,1.2
24.01.2022 06:32:39.000 GMT-0800,25.246,25.267,25.246,25.256,8.4
24.01.2022 06:32:40.000 GMT-0800,25.257,25.296,25.257,25.296,8.1
24.01.2022 06:32:41.000 GMT-0800,25.297,25.297,25.277,25.277,7.8
24.01.2022 06:32:42.000 GMT-0800,25.267,25.277,25.266,25.277,7.2
24.01.2022 06:32:43.000 GMT-0800,25.287,25.287,25.267,25.286,7.2
24.01.2022 06:32:44.000 GMT-0800,25.276,25.276,25.256,25.256,4.5
24.01.2022 06:32:45.000 GMT-0800,25.246,25.246,25.237,25.237,3.5999999999999996
24.01.2022 06:32:46.000 GMT-0800,25.236,25.247,25.236,25.247,2.4
24.01.2022 06:32:47.000 GMT-0800,25.237,25.237,25.226,25.226,2.4
24.01.2022 06:32:48.000 GMT-0800,25.216,25.217,25.216,25.216,3.5999999999999996
24.01.2022 06:32:49.000 GMT-0800,25.207,25.207,25.186,25.186,4.5
24.01.2022 06:32:50.000 GMT-0800,25.187,25.187,25.177,25.177,3.5999999999999996
24.01.2022 06:32:51.000 GMT-0800,25.176,25.186,25.166,25.166,6.9
24.01.2022 06:32:52.000 GMT-0800,25.166,25.166,25.147,25.147,4.2
24.01.2022 06:32:53.000 GMT-0800,25.146,25.167,25.146,25.146,8.1
24.01.2022 06:32:54.000 GMT-0800,25.156,25.176,25.146,25.176,9.600000000000001
24.01.2022 06:32:55.000 GMT-0800,25.166,25.187,25.166,25.186,8.4
24.01.2022 06:32:56.000 GMT-0800,25.177,25.196,25.116,25.116,8.4
24.01.2022 06:32:57.000 GMT-0800,25.117,25.117,25.106,25.106,3.5999999999999996
24.01.2022 06:32:58.000 GMT-0800,25.107,25.107,25.107,25.107,2.4
24.01.2022 06:32:59.000 GMT-0800,25.096,25.096,25.076,25.077,4.8
24.01.2022 06:33:00.000 GMT-0800,25.087,25.097,25.086,25.087,6
24.01.2022 06:33:01.000 GMT-0800,25.097,25.116,25.086,25.087,12.000000000000002
24.01.2022 06:33:02.000 GMT-0800,25.097,25.097,25.066,25.077,7.8
24.01.2022 06:33:03.000 GMT-0800,25.066,25.107,25.066,25.107,4.8
24.01.2022 06:33:04.000 GMT-0800,25.096,25.107,25.086,25.107,4.8
24.01.2022 06:33:05.000 GMT-0800,25.097,25.106,25.096,25.096,4.8
24.01.2022 06:33:07.000 GMT-0800,25.107,25.107,25.097,25.106,3.5999999999999996
24.01.2022 06:33:08.000 GMT-0800,25.096,25.157,25.096,25.146,12.900000000000002
24.01.2022 06:33:09.000 GMT-0800,25.157,25.166,25.116,25.116,10.500000000000002
24.01.2022 06:33:10.000 GMT-0800,25.126,25.137,25.116,25.116,8.4
24.01.2022 06:33:11.000 GMT-0800,25.126,25.126,25.107,25.117,8.1
24.01.2022 06:33:12.000 GMT-0800,25.127,25.127,25.106,25.117,6
24.01.2022 06:33:13.000 GMT-0800,25.117,25.126,25.116,25.126,7.2
24.01.2022 06:33:14.000 GMT-0800,25.117,25.117,25.106,25.116,6
24.01.2022 06:33:15.000 GMT-0800,25.127,25.137,25.127,25.137,2.4
24.01.2022 06:33:16.000 GMT-0800,25.146,25.156,25.136,25.156,9.3
24.01.2022 06:33:17.000 GMT-0800,25.147,25.147,25.137,25.146,4.8
24.01.2022 06:33:18.000 GMT-0800,25.157,25.206,25.156,25.206,7.2
24.01.2022 06:33:19.000 GMT-0800,25.197,25.197,25.197,25.197,1.2
24.01.2022 06:33:20.000 GMT-0800,25.186,25.186,25.166,25.177,6
24.01.2022 06:33:21.000 GMT-0800,25.167,25.186,25.167,25.186,4.8
24.01.2022 06:33:22.000 GMT-0800,25.197,25.236,25.197,25.236,4.8
24.01.2022 06:33:23.000 GMT-0800,25.226,25.266,25.226,25.266,6
24.01.2022 06:33:24.000 GMT-0800,25.257,25.267,25.236,25.236,4.8
24.01.2022 06:33:25.000 GMT-0800,25.227,25.227,25.227,25.227,1.2
24.01.2022 06:33:26.000 GMT-0800,25.217,25.227,25.217,25.227,3.5999999999999996
24.01.2022 06:33:27.000 GMT-0800,25.226,25.237,25.216,25.216,4.8
24.01.2022 06:33:28.000 GMT-0800,25.217,25.226,25.206,25.206,6
24.01.2022 06:33:29.000 GMT-0800,25.206,25.206,25.197,25.197,3.5999999999999996
24.01.2022 06:33:30.000 GMT-0800,25.186,25.186,25.176,25.176,4.8
24.01.2022 06:33:31.000 GMT-0800,25.176,25.196,25.166,25.187,7.2
24.01.2022 06:33:32.000 GMT-0800,25.176,25.187,25.176,25.187,4.8
