Date,Open,High,Low,Close,Adj Close,Volume
2019-07-02,320600.000000,323250.000000,320413.000000,321515.000000,321515.000000,200
2019-07-03,321815.000000,322900.000000,319120.000000,322900.000000,322900.000000,200
2019-07-05,322600.000000,323642.000000,320918.000000,323149.000000,323149.000000,200
2019-07-08,321400.000000,323567.000000,320974.000000,322451.000000,322451.000000,100
2019-07-09,321000.000000,322347.000000,319500.000000,322200.000000,322200.000000,100
2019-07-10,322500.000000,324711.000000,320591.000000,320591.000000,320591.000000,200
2019-07-11,320905.000000,321883.000000,319453.000000,319837.000000,319837.000000,400
2019-07-12,319750.000000,321093.000000,318832.000000,321093.000000,321093.000000,100
2019-07-15,321500.000000,321500.000000,319455.000000,320300.000000,320300.000000,100
2019-07-16,321040.000000,322300.000000,319250.000000,319273.000000,319273.000000,200
2019-07-17,318325.000000,318500.000000,311115.000000,311600.000000,311600.000000,500
2019-07-18,310770.000000,313595.000000,310770.000000,312003.000000,312003.000000,600
2019-07-19,312600.000000,312875.000000,309200.000000,309218.000000,309218.000000,300
2019-07-22,308500.000000,309500.000000,306623.000000,307135.000000,307135.000000,300
2019-07-23,309192.000000,309850.000000,307600.000000,309340.000000,309340.000000,300
2019-07-24,308750.000000,312000.000000,308675.000000,312000.000000,312000.000000,200
2019-07-25,312000.000000,312290.000000,309980.000000,310750.000000,310750.000000,200
2019-07-26,310977.000000,315000.000000,310275.000000,315000.000000,315000.000000,200
2019-07-29,314833.000000,314833.000000,312977.000000,313529.000000,313529.000000,200
2019-07-30,311650.000000,312822.000000,310805.000000,312430.000000,312430.000000,200
2019-07-31,312000.000000,314390.000000,308666.000000,308666.000000,308666.000000,200
2019-08-01,310250.000000,311000.000000,303200.000000,303660.000000,303660.000000,300
2019-08-02,304170.000000,306960.000000,300132.000000,306000.000000,306000.000000,200
2019-08-05,300150.000000,302490.000000,297500.000000,297785.000000,297785.000000,500
2019-08-06,300000.000000,316000.000000,298255.000000,302325.000000,302325.000000,300
2019-08-07,298000.000000,300196.000000,294511.000000,299182.000000,299182.000000,300
2019-08-08,300000.000000,302409.000000,298700.000000,301905.000000,301905.000000,200
2019-08-09,301000.000000,301910.000000,298110.000000,300435.000000,300435.000000,300
2019-08-12,297850.000000,300673.000000,297100.000000,298001.000000,298001.000000,100
2019-08-13,297799.000000,302828.000000,297250.000000,299510.000000,299510.000000,200
2019-08-14,296100.000000,296850.000000,295000.000000,295000.000000,295000.000000,200
2019-08-15,296600.000000,299500.000000,296076.000000,298067.000000,298067.000000,200
2019-08-16,300260.000000,301743.000000,298687.000000,300555.000000,300555.000000,100
2019-08-19,305000.000000,305000.000000,301055.000000,301414.000000,301414.000000,200
2019-08-20,300700.000000,301045.000000,297505.000000,297505.000000,297505.000000,100
2019-08-21,298700.000000,300100.000000,298567.000000,299305.000000,299305.000000,300
2019-08-22,300000.000000,302801.000000,300000.000000,302260.000000,302260.000000,300
2019-08-23,300200.000000,301200.000000,295405.000000,296922.000000,296922.000000,500
2019-08-26,298100.000000,300899.000000,297540.000000,300899.000000,300899.000000,200
2019-08-27,300821.000000,302000.000000,298000.000000,298420.000000,298420.000000,200
2019-08-28,297955.000000,301300.000000,297387.000000,300990.000000,300990.000000,200
2019-08-29,303400.000000,305975.000000,303100.000000,305040.000000,305040.000000,300
2019-08-30,306750.000000,306829.000000,303078.000000,303078.000000,303078.000000,200
2019-09-03,302200.000000,302920.000000,300731.000000,301356.000000,301356.000000,200
2019-09-04,304200.000000,304419.000000,302500.000000,303300.000000,303300.000000,100
2019-09-05,306000.000000,309200.000000,306000.000000,306066.000000,306066.000000,200
2019-09-06,307250.000000,307775.000000,306000.000000,307260.000000,307260.000000,200
2019-09-09,308799.000000,311626.000000,308799.000000,309701.000000,309701.000000,200
2019-09-10,311100.000000,312300.000000,309400.000000,311950.000000,311950.000000,300
2019-09-11,312250.000000,316500.000000,311575.000000,316230.000000,316230.000000,400
2019-09-12,316970.000000,319200.000000,316675.000000,317182.000000,317182.000000,500
2019-09-13,319000.000000,321833.000000,318400.000000,320850.000000,320850.000000,400
2019-09-16,318101.000000,318101.000000,315345.000000,315807.000000,315807.000000,100
2019-09-17,315807.000000,316666.000000,313220.000000,315744.000000,315744.000000,200
